Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,GAKINDO,toilet soap,SAWA SOAP,335.894,0.00321701,0.002203202,,0.020048634,
CENTRAL,GAKWEGORI,bar soap,NDUME,90,0.000712413,0.000122034,10.97780161,0.000712413,0.007820732
CENTRAL,GAKWEGORI,bar soap,POPCO,20,0.000166274,0.000113325,46.92278541,0.011323436,0.53132717
CENTRAL,GAKWEGORI,bar soap,WHITEWASH,8.4,0.000123092,7.15E-05,,0.000303863,
CENTRAL,GAKWEGORI,bathing soap,DETREX,5.76,0.000172077,0.000193825,66.28906039,0.00094097,0.062376045
CENTRAL,GAKWEGORI,bathing soap,SAWA SOAP,5.04,4.81E-05,3.31E-05,,0.002289227,
CENTRAL,GAKWEGORI,fat,DIRIA,12,0.0002167,0.000417569,47.16697108,0.000957517,0.045163153
CENTRAL,GAKWEGORI,fat,FRYKING,12,0.017125838,0.004382761,48.03585969,0.017125838,0.822654336
CENTRAL,GAKWEGORI,fat,FRYMATE,12,0.000400718,0.000315154,37.92318682,0.001564519,0.059331562
CENTRAL,GAKWEGORI,glycerine,SAWA GLYCERINE,1.210583333,1.14E-05,7.94E-06,,0.002528514,
CENTRAL,GAKWEGORI,lotion,BELLEZA,0.597625,0.000301932,7.51E-05,,0.000901063,
CENTRAL,GAKWEGORI,lotion,FRESCO,1.19525,0.001114601,0.000214734,,0.002670551,
CENTRAL,GAKWEGORI,milking jelly,SAWA MILKING JELLY,1.938,1.84E-05,1.27E-05,,0.001268805,
CENTRAL,GAKWEGORI,oil,FRESH FRI,106.924,0.001439603,0.000388012,44.40835361,0.004574545,0.203148002
CENTRAL,GAKWEGORI,oil,SALIT,481.14,0.004486719,0.000426539,33.57641678,0.006388577,0.214505537
CENTRAL,GAKWEGORI,toilet soap,SAWA SOAP,5.04,4.81E-05,3.31E-05,,0.000299575,
CENTRAL,GARBATULA,bar soap,USHINDI BAR,1.6,7.86E-05,2.20E-05,58.4682421,0.000226944,0.013269012
CENTRAL,GARBATULA,bar soap,WHITEWASH,2.1,3.08E-05,1.79E-05,,7.60E-05,
CENTRAL,GARBATULA,bathing soap,DETREX,1.6,4.78E-05,5.38E-05,66.28906039,0.000261381,0.017326679
CENTRAL,GARBATULA,glycerine,SAWA GLYCERINE,0.378291667,3.42E-06,2.48E-06,,0.000759068,
CENTRAL,GARBATULA,lotion,BELLEZA,0.2988125,0.000120773,3.76E-05,,0.000360425,
CENTRAL,GARBATULA,lotion,FRESCO,1.095645833,0.001013274,0.00019684,,0.002427774,
CENTRAL,GARBATULA,milking jelly,SAWA MILKING JELLY,0.8925,8.34E-06,5.85E-06,,0.000576729,
CENTRAL,GARBATULA,oil,FRESH FRI,21.8295,0.000284281,7.92E-05,44.40835361,0.000903342,0.040115949
CENTRAL,GARBATULA,oil,SALIT,14.256,0.000128905,1.26E-05,33.57641678,0.000183546,0.00616281
CENTRAL,GARBATULA,petroleum jelly,SAWA PETROLLEUM JELLY,0.51,4.68E-06,3.35E-06,,0.005346351,
CENTRAL,GARBATULA,toilet soap,SAWA SOAP,6.765,6.46E-05,4.44E-05,,0.000402542,
CENTRAL,GATANGA,bar soap,NDUME,335,0.002651761,0.000454238,10.97780161,0.002651761,0.029110502
CENTRAL,GATANGA,bar soap,POPCO,520,0.005837278,0.002946439,46.92278541,0.397525219,18.65299055
CENTRAL,GATANGA,bar soap,USHINDI BAR,16.3,0.00080064,0.00022407,58.4682421,0.002311991,0.135178058
CENTRAL,GATANGA,bar soap,WHITEWASH,16.8,0.000246183,0.000143041,,0.000607726,
CENTRAL,GATANGA,lotion,BELLEZA,5.97625,0.003562802,0.000751193,,0.010632546,
CENTRAL,GATANGA,milking jelly,SAWA MILKING JELLY,12.75,0.000121917,8.36E-05,,0.008425876,
CENTRAL,GATANGA,oil,FRESH FRI,99.794,0.0013428,0.000362138,44.40835361,0.004266938,0.189487677
CENTRAL,GATANGA,oil,POPCO,5.34,0,3.03E-05,44.00430178,0,0
CENTRAL,GATANGA,oil,SALIT,5009.202,0.046750866,0.004440749,33.57641678,0.066567911,2.235111908
CENTRAL,GATANGA,toilet soap,SAWA SOAP,27.024,0.000258634,0.000177256,,0.001611825,
CENTRAL,GATEGI,bar soap,NDUME,872,0.006902493,0.001182376,10.97780161,0.006902493,0.075774203
CENTRAL,GATEGI,bar soap,USHINDI BAR,49.825,0.002447354,0.000684926,58.4682421,0.007067175,0.413205322
CENTRAL,GATEGI,bar soap,WHITEWASH,130.9,0.001918176,0.00111453,,0.004735196,
CENTRAL,GATEGI,bathing soap,4U,24,0.000447668,0.001913227,,0.013953488,
CENTRAL,GATEGI,bathing soap,DETREX,26.08,0.000779127,0.000877594,66.28906039,0.004260505,0.282424872
CENTRAL,GATEGI,bathing soap,SAWA SOAP,12.6,0.00012048,8.26E-05,,0.005737607,
CENTRAL,GATEGI,dishwashing liquid,USHINDI DISHWASHING LIQUID,2.884,0.000141659,3.96E-05,,0.002467953,
CENTRAL,GATEGI,fat,DIRIA,12,0.0002167,0.000417569,47.16697108,0.000957517,0.045163153
CENTRAL,GATEGI,fat,FRYKING,12,0.017125838,0.004382761,48.03585969,0.017125838,0.822654336
CENTRAL,GATEGI,fat,FRYMATE,12,0.000400718,0.000315154,37.92318682,0.001564519,0.059331562
CENTRAL,GATEGI,glycerine,SAWA GLYCERINE,5.409833333,5.16E-05,3.55E-05,,0.011456091,
CENTRAL,GATEGI,lotion,BELLEZA,11.45447917,0.006884058,0.001439786,,0.020544242,
CENTRAL,GATEGI,lotion,FRESCO,6.2750625,0.006282298,0.001127355,,0.015052197,
CENTRAL,GATEGI,margarine,ONJA,2,0.000717875,0.000452694,95.89977833,0.004638834,0.44486312
CENTRAL,GATEGI,milking jelly,SAWA MILKING JELLY,18.853,0.000180372,0.000123661,,0.012465795,
CENTRAL,GATEGI,oil,FRESH FRI,87.324,0.001173495,0.000316887,44.40835361,0.003728949,0.165596477
CENTRAL,GATEGI,oil,POPCO,201.36,0.002223261,0.001140952,44.00430178,0.002223261,0.097833032
CENTRAL,GATEGI,oil,SALIT,2765.666,0.025810089,0.002451813,33.57641678,0.036750629,1.233954429
CENTRAL,GATEGI,petroleum jelly,SAWA PETROLLEUM JELLY,0.1275,1.02E-06,8.36E-07,,0.00116225,
CENTRAL,GATEGI,toilet soap,SAWA SOAP,123.9665,0.001187155,0.000813123,,0.007398436,
CENTRAL,GATUNGA,bar soap,NDUME,960,0.007599075,0.001301698,10.97780161,0.007599075,0.083421141
CENTRAL,GATUNGA,bar soap,POPCO,280,0.003115196,0.001586544,46.92278541,0.212148363,9.954592125
CENTRAL,GATUNGA,bar soap,USHINDI BAR,16.3,0.00080064,0.00022407,58.4682421,0.002311991,0.135178058
